Doc No,SubTotal,Total,Invoice Vendor No,Invoice Vendor Date Format (YYYY-MM-DD),Payment Date Format (YYYY-MM-DD),UUID,Remarks
OPRC-DLV0001239,202.09,234.42,,,,,
OPRC-DLV0001240,150.69,174.8,,,,,
OPRC-DLV0001241,137.84,159.89,,,,,
OPRC-DLV0001242,137.84,159.89,,,,,
OPRC-DLV0001243,150.69,174.8,,,,,
OPRC-DLV0001244,330.59,383.48,,,,,
OPRC-DLV0001245,279.19,323.86,,,,,
OPRC-DLV0001246,163.54,189.71,,,,,
OPRC-DLV0001247,150.69,174.8,,,,,
OPRC-DLV0001248,137.84,159.89,,,,,
OPRC-DLV0001249,150.69,174.8,,,,,
OPRC-DLV0001250,214.94,249.33,,,,,
OPRC-DLV0001251,137.84,159.89,,,,,
OPRC-DLV0001252,137.84,159.89,,,,,
OPRC-DLV0001253,137.84,159.89,,,,,
OPRC-DLV0001254,240.64,279.14,,,,,
OPRC-DLV0001255,189.24,219.52,,,,,
OPRC-DLV0001256,137.84,159.89,,,,,
OPRC-DLV0001257,240.64,279.14,,,,,
OPRC-DLV0001258,150.69,174.8,,,,,
OPRC-DLV0001259,150.69,174.8,,,,,
OPRC-DLV0001260,176.39,204.61,,,,,
OPRC-DLV0001261,583.23,676.55,,,,,
OPRC-DLV0001262,583.23,676.55,,,,,
OPRC-DLV0001263,1335.21,1548.84,,,,,
OPRC-DLV0001264,779.95,904.74,,,,,
OPRC-DLV0001265,361.92,419.83,,,,,
OPRC-DLV0001266,214.94,249.33,,,,,
OPRC-DLV0001267,137.84,159.89,,,,,
OPRC-DLV0001268,137.84,159.89,,,,,
OPRC-DLV0001269,292.04,338.77,,,,,
OPRC-DLV0001270,137.84,159.89,,,,,
OPRC-DLV0001271,137.84,159.89,,,,,
OPRC-DLV0001272,137.84,159.89,,,,,
OPRC-DLV0001273,189.24,219.52,,,,,
OPRC-DLV0001274,312.74,362.78,,,,,
OPRC-DLV0001275,189.79,220.16,,,,,
OPRC-DLV0001276,165.2,191.63,,,,,
OPRC-DLV0001277,238.97,277.21,,,,,
OPRC-DLV0001278,312.74,362.78,,,,,
OPRC-DLV0001279,137.84,159.89,,,,,
OPRC-DLV0001280,137.84,159.89,,,,,
OPRC-DLV0001281,137.84,159.89,,,,,
OPRC-DLV0001282,137.84,159.89,,,,,
OPRC-DLV0001283,176.39,204.61,,,,,
OPRC-DLV0001284,150.69,174.8,,,,,
OPRC-DLV0001285,189.24,219.52,,,,,
OPRC-DLV0001286,163.54,189.71,,,,,
OPRC-DLV0001287,150.69,174.8,,,,,
OPRC-DLV0001288,258.58,299.95,,,,,
OPRC-DLV0001289,163.54,189.71,,,,,
OPRC-DLV0001290,137.84,159.89,,,,,
OPRC-DLV0001291,150.69,174.8,,,,,
OPRC-DLV0001292,304.89,353.67,,,,,
OPRC-DLV0001293,150.69,174.8,,,,,
OPRC-DLV0001294,137.84,140.05,,,,,
OPRC-DLV0001295,137.84,140.05,,,,,
OPRC-DLV0001296,137.84,140.05,,,,,
OPRC-DLV0001297,137.84,140.05,,,,,
OPRC-DLV0001298,163.54,166.16,,,,,
OPRC-DLV0001299,150.69,153.1,,,,,
OPRC-DLV0001300,150.69,153.1,,,,,
OPRC-DLV0001301,163.54,166.16,,,,,
OPRC-DLV0001302,189.24,192.27,,,,,
OPRC-DLV0001303,227.79,231.43,,,,,
OPRC-DLV0001304,137.84,140.05,,,,,
OPRC-DLV0001305,137.84,140.05,,,,,
